Genre,Start Date,End Date,Artist,Album,Release Date
Britpop,1/1/93,12/31/97,-,-,-
Britpop,-,-,Blur,Parklife,4/25/94
Britpop,-,-,Suede,Suede,3/29/93
Britpop,-,-,Oasis,Definitely Maybe,8/30/94
Britpop,-,-,Elastica,Elastica,3/14/95
Britpop,-,-,Oasis,(What's the Story) Morning Glory?,10/2/95
Britpop,-,-,Pulp,Different Class,10/30/95
Britpop,-,-,Suede,Coming Up,9/2/96
Britpop,-,-,Oasis,Be Here Now,8/21/97
Grunge,1/1/91,12/31/96,-,-,-
Shoegaze,1/1/88,12/31/93,-,-,-
Grunge,-,-,Temple of the Dog,Temple of the Dog,4/16/91
Grunge,-,-,Pearl Jam,Ten,8/27/91
Grunge,-,-,Nirvana,Nevermind,9/24/91
Grunge,-,-,Mudhoney,Superfuzz Bigmuff,10/20/88
Grunge,-,-,Soundgarden,Badmotorfinger,10/8/91
Grunge,-,-,Alice in Chains,Dirt,9/29/92
Grunge,-,-,Candlebox,Candlebox,7/20/93
Grunge,-,-,Nirvana,In Utero,9/21/93
Grunge,-,-,Pearl Jam,Vs.,10/19/93
Punk Revival,-,-,Green Day,Dookie,2/1/94
Grunge,-,-,Soundgarden,Superunknown,3/8/94
Punk Revival,-,-,The Offspring,Smash,4/8/94
Post-Grunge,-,-,Live,Throwing Copper,4/26/94
Grunge,-,-,Stone Temple Pilots,Purple,6/7/94
Grunge,-,-,Pearl Jam,Vitalogy,12/6/94
Post-Grunge,-,-,Bush,Sixteen Stone,12/6/94
Grunge,-,-,Alice in Chains,Alice in Chains,11/7/95
Grunge,-,-,Stone Temple Pilots,Tiny Music… Songs from the Vatican Gift Shop,3/26/96
Grunge,-,-,Soundgarden,Down on the Upside,5/21/96
Post-Grunge,-,-,Matchbox Twenty,Yourself or Someone Like You,10/1/96
Post-Grunge,-,-,Third Eye Blind,Third Eye Blind,4/8/97
Pop Punk,-,-,Blink-182,Dude Ranch,6/17/97
Post-Grunge,-,-,Creed,My Own Prison,6/24/97
Pop Punk,-,-,Blink-182,Enema of the State,6/1/99
Post-Grunge,-,-,Creed,Human Clay,9/28/99
Post-Grunge,-,-,3 Doors Down,The Better Life,2/8/00
Post-Grunge,-,-,Matchbox Twenty,Mad Season,5/23/00
Nü Metal,-,-,Limp Bizkit,Chocolate Starfish and the Hot Dog Flavored Water,10/17/00
Nü Metal,-,-,Linkin Park,Hybrid Theory,10/24/00
Nü Metal,-,-,Staind,Break the Cycle,5/22/01
Pop Punk,-,-,Blink-182,Take Off Your Pants and Jacket,6/12/01
Post-Grunge,-,-,Nickelback,Silver Side Up,9/11/01
Post-Grunge,-,-,Creed,Weathered,11/20/01
Pop Punk,-,-,Good Charlotte,The Young and the Hopeless,10/1/02
Post-Grunge,-,-,3 Doors Down,Away from the Sun,11/12/02
Nü Metal,-,-,Linkin Park,Meteora,3/25/03
Nü Metal,-,-,Limp Bizkit,Significant Other,6/22/99
Pop Punk,-,-,The Offspring,Americana,11/17/98
Post-Britpop,-,-,The Verve,Urban Hymns,9/29/97
Punk Revival,-,-,Green Day,Insomniac,10/10/95
Grunge,-,-,Nirvana,MTV Unplugged in New York,11/1/94
Grunge,-,-,Stone Temple Pilots,Core,9/29/92
Shoegaze,-,-,My Bloody Valentine,Isn't Anything,11/1/88
Shoegaze,-,-,Ride,Nowhere,10/15/90
Shoegaze,-,-,My Bloody Valentine,Loveless,11/4/91
Shoegaze,-,-,Ride,Going Blank Again,3/9/92
Shoegaze,-,-,Slowdive,Souvlaki,5/17/93
Shoegaze,-,-,The Boo Radleys,Giant Steps,8/31/93
Shoegaze,-,-,Catherine Wheel,Chrome,7/20/93
Shoegaze,-,-,Catherine Wheel,Ferment,6/9/92
Punk Revival,-,-,Rancid,…And Out Come the Wolves,8/22/95
Punk Revival,-,-,Green Day,Nimrod,10/14/97
Punk Revival,1/1/94,12/31/97,-,-,-
Pop Punk,1/1/97,12/31/03,-,-,-
Post-Grunge,1/1/94,12/31/03,-,-,-
Post-Britpop,1/1/97,12/31/05,-,-,-
Nü Metal,1/1/98,12/31/03,-,-,-
Post-Britpop,-,-,Radiohead,The Bends,3/13/95
Post-Britpop,-,-,Radiohead,OK Computer,5/21/97
Post-Britpop,-,-,Travis,The Man Who,5/24/99
Post-Britpop,-,-,Coldplay,Parachutes,7/10/00
Post-Britpop,-,-,Travis,The Invisible Band,6/11/01
Post-Britpop,-,-,Muse,Origin of Symmetry,6/18/01
Post-Britpop,-,-,Doves,The Last Broadcast,4/29/02
Post-Britpop,-,-,Coldplay,A Rush of Blood to the Head,8/26/02
Post-Britpop,-,-,Muse,Absolution,9/15/03
Madchester,-,-,The Stone Roses,The Stone Roses,5/2/89
Madchester,-,-,Inspiral Carpets,Life,4/23/90
Madchester,-,-,James,Gold Mother,6/4/90
Madchester,-,-,The Charlatans,Some Friendly,10/8/90
Madchester,-,-,Happy Mondays,Pills 'n' Thrills 'n' Bellyaches,11/5/90
Madchester,-,-,Blur,Leisure,8/26/91
Madchester,-,-,Happy Mondays,Bummed,11/5/88
Madchester,1/1/88,12/31/92,-,-,-
Emo,-,-,Sunny Day Real Estate,Diary,5/10/94
Emo,-,-,Jimmy Eat World,Clarity,2/23/99
Emo,-,-,American Football,American Football,9/28/99
Post-Hardcore,-,-,At the Drive-In,Relationship of Command,9/12/00
